8563,26716
8563,2914
8563,21482
8563,3277
8563,4323
28801,702
28801,8422
28801,8220
5006,20283
5006,21902
5006,25637
5006,17162
5006,18581
5006,11401
5006,16904
5006,21730
5006,32461
5006,7018
5006,14278
5006,1347
5006,32664
5006,33111
5006,26021
5006,23359
5006,7792
5006,16595
5006,10337
5006,18699
5006,32110
5006,7973
5006,25615
5006,18723
5006,33362
5006,1239
5006,10765
5006,22555
5006,78
5006,15011
5006,25720
5006,701
5006,17198
5006,15100
5006,10377
5006,19458
5006,21573
5006,7263
5006,8148
5006,15267
5006,26557
5006,3679
5006,14738
5006,14619
5006,555
5006,32907
5006,11544
8434,29282
8434,24819
8434,2119
8434,2865
8434,16150
8434,30798
8434,29506
8434,28942
8434,24959
8434,3303
8434,25252
8434,8984
8434,16086
8434,3293
8434,34244
8434,3257
8434,13237
8434,29607
8434,21297
8434,25148
8434,21171
8434,30786
8434,30737
8434,28908
8434,15950
8434,33907
8434,21202
8434,31096
8434,21200
8434,20883
8434,31677
8434,24713
8434,13243
8434,25201
8434,8210
8434,2603
8434,31024
8434,20513
8434,25475
8434,25387
8434,29422
8434,25217
8434,13189
29429,8447
29429,8220
31922,701
31922,174
31922,17054
18581,6395
18581,5006
14308,701
14308,11853
7652,9942
7652,703
22537,701
22537,21637
17773,4837
17773,9800
12798,8301
1785,10882
1785,10963
1785,27344
1785,20306
1785,11023
1785,30544
1785,21704
1785,7828
1785,32112
1785,88
1785,15050
1785,22252
1785,30566
1785,11931
1785,11452
1785,32401
1785,16670
1785,22597
1785,25816
1785,26881
1785,6493
1785,6316
1785,26055
1785,22077
1785,31836
1785,10493
1785,20108
1785,16500
1785,26099
1785,19674
1785,33480
1785,6067
1785,31887
1785,6160
1785,19661
1785,23484
1785,31821
1785,701
1785,22008
1785,4017
1785,4231
1785,23262
1785,11410
1785,30150
1785,25936
1785,17019
1785,31924
1785,11817
1785,16554
1785,15171
1785,26727
1785,11534
1785,3356
8419,6461
8419,8426
8419,3491
8419,29446
8419,3303
8419,6939
33919,24971
33919,5620
9363,2519
18471,1239
18471,3561
17145,701
17145,1239
18324,4766
18324,3786
26844,1239
29030,9127
29030,20685
27480,701
27480,1239
18860,701
18860,7018
19092,30110
19092,21864
19092,6539
19092,210
19092,7745
19092,32909
19092,32311
19092,3561
19092,22629
19092,14342
19092,701
19092,23492
19092,12009
19092,11961
19720,2828
19720,6128
24783,13257
24783,8342
12093,174
12093,26677
16355,2686
16355,8220
1244,701
1244,174
29393,7181
25953,209
25953,1239
7816,7018
21215,15982
21215,31161
21215,13091
4358,701
4358,33230
4358,3356
4358,13475
14729,1784
14729,14742
16410,6395
28828,286
11648,2647
16622,7228
25867,577
25867,3561
23788,17930
23788,4725
34494,15694
33505,2828
33505,3356
21363,9116
21363,5486
32854,1239
32854,3549
11427,1668
11427,33342
11427,22339
11427,12270
11427,3356
22961,1239
22961,13488
33090,701
15874,286
15874,6453
15874,20562
13766,19108
31359,31499
31359,30910
31359,34038
31359,16285
31359,30856
31359,8342
31359,30767
31359,12668
31359,8658
31359,28890
31359,31363
31359,24588
26831,701
26831,2828
31038,8953
31038,8708
27275,15296
30706,3602
30706,6539
26317,16422
30604,19094
9968,4766
9968,3786
26707,209
26707,4323
26002,13504
9961,9848
5464,8741
5464,286
5464,24836
11280,701
25747,22306
25747,2828
25747,26124
25747,13805
9985,10223
9985,7474
3475,721
5401,8222
5401,1273
8193,28910
8193,29304
8193,30728
20906,8220
20906,3352
6327,33419
6327,5071
6327,22208
6327,25232
6327,13445
6327,18650
6327,14651
